version,section,function,length,matching
us,.code,func_800274C0,80,yes
us,.code,func_80025B70,72,yes
us,.code,func_80029F7C,728,no
us,.code,func_80025FC4,280,yes
us,.code,func_8002A8F0,84,yes
us,.code,func_8002ABDC,432,yes
us,.code,func_8002976C,280,yes
us,.code,func_80025904,348,no
us,.code,func_8002466C,564,yes
us,.code,func_80025A60,272,yes
us,.code,func_80028FC0,164,yes
us,.code,func_8002AEC8,52,yes
us,.code,func_80026D48,128,yes
us,.code,func_80029AF8,152,yes
us,.code,func_80024390,120,yes
us,.code,func_800298C8,100,yes
us,.code,func_80024A4C,64,yes
us,.code,func_800292C4,396,no
us,.code,func_8002A374,444,yes
us,.code,func_80027728,1216,no
us,.code,func_80029C1C,496,yes
us,.code,func_80024408,564,no
us,.code,func_80028BD0,108,yes
us,.code,func_80029E0C,368,yes
us,.code,func_80026A3C,116,yes
us,.code,func_80028CF8,268,yes
us,.code,func_80025C40,96,yes
us,.code,func_80028E88,312,no
us,.code,func_80029064,328,no
us,.code,func_8002A2DC,152,no
us,.code,func_80024A8C,516,yes
us,.code,func_80028C3C,188,yes
us,.code,func_80027510,228,yes
us,.code,func_80025368,240,yes
us,.code,func_800260DC,572,yes
us,.code,func_8002419C,500,yes
us,.code,func_80027D64,348,no
us,.code,func_80027108,264,yes
us,.code,func_8002A530,332,yes
us,.code,func_80026FE0,48,yes
us,.code,func_8002AD8C,116,yes
us,.code,func_80024F64,56,yes
us,.code,func_8002992C,96,yes
us,.code,func_800250A0,200,yes
us,.code,func_80027410,108,yes
us,.code,func_80027060,168,yes
us,.code,func_800254B8,284,no
us,.code,func_8002463C,48,yes
us,.code,func_800291AC,88,yes
us,.code,func_80027480,64,yes
us,.code,func_80026318,1828,no
us,.code,func_80028E04,132,no
us,.code,func_8002998C,364,yes
us,.code,func_80028544,152,yes
us,.code,func_80025F48,124,yes
us,.code,func_80028340,172,yes
us,.code,func_80028B54,124,yes
us,.code,func_8002A944,48,yes
us,.code,func_80025BB8,136,yes
us,.code,func_8002A6C0,152,yes
us,.code,func_80025168,512,no
us,.code,func_800285DC,88,yes
us,.code,func_8002A67C,68,yes
us,.code,func_8002A758,408,no
us,.code,func_8002A2AC,48,yes
us,.code,func_80029884,68,yes
us,.code,func_80024E70,180,no
us,.code,func_800286D0,640,no
us,.code,func_800289EC,360,no
us,.code,func_80024000,412,no
us,.code,func_8002A974,352,yes
us,.code,func_800275F4,308,no
us,.code,func_8002AE00,148,yes
us,.code,func_80027010,72,yes
us,.code,func_80024F9C,260,no
us,.code,func_8002A254,88,yes
us,.code,func_80029450,156,no
us,.code,func_80029B90,140,yes
us,.code,func_80026CEC,92,yes
us,.code,func_80026AB0,500,no
us,.code,func_800248A0,72,yes
us,.code,func_8002AAD4,264,yes
us,.code,func_80027EC0,1152,no
us,.code,func_800283EC,344,no
us,.code,func_80026DC8,536,yes
us,.code,func_80027BE8,380,no
us,.code,func_80027210,64,yes
us,.code,func_80029640,300,yes
us,.code,func_80027250,224,yes
us,.code,func_80024C90,184,yes
us,.code,func_8002AEFC,404,yes
us,.code,func_80028950,156,yes
us,.code,func_80024D48,296,yes
us,.code,func_80025CB0,664,no
us,.code,func_80028634,156,yes
us,.code,func_800294EC,340,no
us,.code,func_80027380,72,yes
us,.code,func_800273C8,72,yes
us,.code,func_80026CA4,72,yes
us,.code,func_800255D4,300,yes
us,.code,func_80027330,80,yes
us,.code,func_80025CA0,16,yes
us,.code,func_80025700,516,no
us,.code,func_80029204,192,yes
us,.code,func_800248E8,356,no
us,.code,func_80024F24,64,no
us,.code,func_8002AE94,52,yes
us,.code,func_80025460,88,yes
